"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1990","48","12/01/1990","7","AR","Little Rock","6","87","1","3","7","18","58"
"1990","50","12/15/1990","5","VA","Richmond","8","77","6","2","9","15","45"
"1991","7","02/16/1991","7","TX","San Antonio","8","191","8","8","15","34","126"
"1991","17","04/27/1991","1","RI","Providence","1","40","0","0","0","10","30"
"1991","20","05/18/1991","3","IL","Chicago","9","469","33","64","89","100","183"
"1991","28","07/13/1991","7","TX","Houston","26","414","19","23","69","98","205"
"1991","31","08/03/1991","7","OK","Tulsa","4","86","2","1","7","16","60"
"1991","39","09/28/1991","5","FL","Saint Petersburg","0","83","2","1","9","11","60"
"1991","44","11/02/1991","5","GA","Atlanta","9","203","2","5","24","50","122"
"1991","49","12/07/1991","9","HI","Honolulu","7","121","2","4","9","23","83"
"1991","50","12/14/1991","8","UT","Salt Lake City","3","35","2","1","4","5","23"
"1992","2","01/11/1992","1","CT","Bridgeport","7","60","2","2","3","6","47"
"1992","12","03/21/1992","9","CA","Long Beach","9","78","0","1","5","17","55"
"1992","17","04/25/1992","6","AL","Birmingham","2","102","2","5","8","17","70"
"1992","22","05/30/1992","7","TX","Austin","5","64","0","2","10","13","39"
"1992","23","06/06/1992","1","RI","Providence","0","35","0","0","1","7","27"
"1992","25","06/20/1992","3","IL","Peoria","2","51","2","0","3","7","39"
"1992","25","06/20/1992","3","IL","Rockford","2","52","1","2","5","7","37"
"1992","43","10/24/1992","9","CA","Pasadena","1","37","1","2","3","5","26"
"1992","45","11/07/1992","8","NV","Las Vegas","6","124","2","1","8","24","89"
"1992","46","11/14/1992","3","MI","Grand Rapids","3","56","3","4","7","3","39"
"1993","7","02/20/1993","7","TX","Corpus Christi","3","67","1","0","8","12","46"
"1993","16","04/24/1993","3","IN","South Bend","3","43","1","0","2","8","32"
"1993","18","05/08/1993","1","RI","Providence","1","25","0","0","1","4","20"
"1993","28","07/17/1993","8","UT","Salt Lake City","4","83","0","3","7","14","59"
"1993","46","11/20/1993","3","OH","Cincinnati","12","156","1","3","12","33","107"
"1993","46","11/20/1993","9","CA","Fresno","12","134","4","5","12","24","89"
"1994","3","01/22/1994","8","CO","Denver","8","110","3","4","8","14","81"
"1994","10","03/12/1994","3","OH","Cleveland","1","170","5","8","25","43","89"
"1994","22","06/04/1994","2","PA","Philadelphia","27","323","5","6","31","71","210"
"1994","24","06/18/1994","7","OK","Tulsa","14","123","2","1","6","26","88"
"1994","45","11/12/1994","1","CT","Waterbury","0","16","0","1","0","4","11"
"1994","46","11/19/1994","7","TX","Corpus Christi","1","46","2","2","7","7","28"
"1995","5","02/04/1995","7","AR","Little Rock","6","76","3","4","12","17","40"
"1995","8","02/25/1995","7","LA","New Orleans","0","118","3","9","13","25","68"
"1995","10","03/11/1995","9","CA","Los Angeles","29","738","8","29","115","132","440"
"1995","18","05/06/1995","7","TX","Dallas","3","192","5","12","24","39","112"
"1995","24","06/17/1995","1","MA","Worcester","7","44","0","0","6","9","29"
"1995","27","07/08/1995","3","MI","Grand Rapids","9","71","1","1","3","10","56"
"1995","28","07/15/1995","1","CT","Hartford","2","53","2","1","3","9","38"
"1995","51","12/23/1995","9","CA","Fresno","6","120","2","8","13","14","83"
"1996","7","02/17/1996","7","LA","Shreveport","4","33","1","1","3","6","22"
"1996","19","05/11/1996","9","WA","Tacoma","7","114","2","1","9","16","86"
"1996","21","05/25/1996","7","LA","Baton Rouge","2","65","4","3","7","13","38"
"1996","27","07/06/1996","1","MA","Fall River","0","19","1","0","1","2","15"
"1996","27","07/06/1996","9","CA","Long Beach","7","54","0","3","5","8","38"
"1996","28","07/13/1996","3","IN","Fort Wayne","1","62","0","3","4","7","48"
"1996","35","08/31/1996","8","AZ","Tucson","3","112","3","2","5","22","80"
"1996","40","10/05/1996","9","WA","Tacoma","7","83","5","2","4","12","60"
"1996","42","10/19/1996","4","NE","Omaha","6","83","3","4","3","16","57"
"1996","42","10/19/1996","5","FL","Saint Petersburg","4","49","3","0","4","6","36"
"1996","43","10/26/1996","3","OH","Akron","0","55","1","3","3","12","36"
"1996","50","12/14/1996","9","CA","San Jose","19","211","4","4","16","37","150"
"1997","8","02/22/1997","5","VA","Richmond","1","67","1","3","5","19","39"
"1997","9","03/01/1997","3","IN","South Bend","6","63","0","2","1","12","48"
"1997","10","03/08/1997","2","PA","Erie","4","42","0","0","1","7","34"
"1997","13","03/29/1997","6","AL","Mobile","2","115","4","3","13","23","72"
"1997","19","05/10/1997","8","UT","Salt Lake City","10","108","2","12","10","16","68"
"1997","22","05/31/1997","3","OH","Toledo","7","85","0","1","5","13","66"
"1997","26","06/28/1997","5","DC","Washington","8","140","2","11","7","37","83"
"1997","27","07/05/1997","1","MA","Somerville","0","6","0","0","1","0","5"
"1997","35","08/30/1997","8","NM","Albuquerque","7","89","0","3","2","17","67"
"1997","40","10/04/1997","3","MI","Lansing","1","25","0","0","0","5","20"
"1997","42","10/18/1997","6","KY","Lexington","4","61","3","1","8","16","33"
"1997","45","11/08/1997","1","MA","Springfield","2","50","0","2","6","11","31"
"1998","14","04/11/1998","2","NJ","Trenton","7","27","0","0","4","4","19"
"1998","45","11/14/1998","7","LA","New Orleans","0","104","3","4","13","14","70"
"1999","1","01/09/1999","3","IN","Indianapolis","15","188","2","9","15","42","120"
"1999","3","01/23/1999","7","LA","Shreveport","4","73","2","2","6","17","46"
"1999","33","08/21/1999","1","CT","New Haven","1","29","1","2","3","5","18"
"1999","33","08/21/1999","3","OH","Dayton","6","131","6","4","7","27","87"
"1999","33","08/21/1999","5","NC","Charlotte","17","107","8","4","2","24","69"
"1999","39","10/02/1999","3","IN","Evansville","2","57","1","0","3","11","42"
"2000","2","01/15/2000","9","CA","Berkeley","3","28","1","0","1","8","18"
"2000","3","01/22/2000","2","NJ","Trenton","4","10","0","0","1","2","7"
"2000","5","02/05/2000","4","KS","Kansas City","11","42","0","3","5","8","26"
"2000","8","02/26/2000","1","MA","New Bedford","3","35","0","0","0","4","31"
"2000","15","04/15/2000","8","CO","Colorado Springs","4","77","1","2","6","16","52"
"2000","23","06/10/2000","7","OK","Tulsa","6","114","2","2","13","21","76"
"2000","47","11/25/2000","3","IN","South Bend","4","47","0","0","0","9","38"
"2001","2","01/13/2001","2","NJ","Paterson","3","39","2","0","4","8","25"
"2001","4","01/27/2001","4","MO","Saint Louis","1","100","6","2","5","18","69"
"2001","35","09/01/2001","2","NY","Schenectady","1","18","0","0","1","0","17"
"2001","44","11/03/2001","1","MA","Springfield","4","48","0","1","2","8","37"
"2001","49","12/08/2001","7","TX","San Antonio","17","257","3","10","15","43","186"
"2002","6","02/09/2002","5","MD","Baltimore","22","191","2","1","11","54","123"
"2002","17","04/27/2002","2","NJ","Jersey City","0","47","1","1","5","11","29"
"2002","26","06/29/2002","6","TN","Memphis","17","186","6","2","21","48","109"
"2002","30","07/27/2002","9","OR","Portland","6","156","1","3","9","33","110"
"2003","1","01/04/2003","9","CA","Long Beach","12","81","3","4","5","17","52"
"2003","7","02/15/2003","9","CA","Pasadena","2","27","1","0","1","2","18"
"2003","30","07/26/2003","3","MI","Grand Rapids","1","58","2","3","4","12","37"
"2003","36","09/06/2003","1","CT","Hartford","4","37","1","0","2","7","27"
"2003","38","09/20/2003","5","DE","Wilimington","3","15","1","0","2","3","9"
"2003","50","12/13/2003","2","PA","Reading","0","23","0","0","1","3","19"
"2004","4","01/31/2004","2","NY","Buffalo","16","83","1","2","3","17","60"
"2004","17","05/01/2004","2","NJ","Elizabeth","0","17","0","0","1","3","13"
"2004","34","08/28/2004","6","AL","Montgomery","1","66","5","2","2","18","39"
"2004","47","11/27/2004","2","NY","Buffalo","14","73","2","1","2","18","50"
"2004","49","12/11/2004","9","WA","Tacoma","6","110","2","2","5","23","78"
"2005","5","02/05/2005","6","AL","Mobile","11","137","1","5","3","29","99"
"2005","10","03/12/2005","2","NY","Buffalo","7","88","2","1","2","18","65"
"2005","16","04/23/2005","5","VA","Richmond","3","49","2","1","4","8","34"
"2005","17","04/30/2005","3","IN","Evansville","3","44","0","0","1","10","33"
"2005","26","07/02/2005","3","IL","Peoria","4","35","0","1","3","9","22"
"2005","27","07/09/2005","6","AL","Montgomery","5","24","0","0","2","4","18"
"2005","31","08/06/2005","2","NY","Albany","1","43","1","4","4","7","27"
"2005","40","10/08/2005","7","LA","Baton Rouge","5","54","0","0","2","11","41"
"2005","42","10/22/2005","1","RI","Providence","0","43","3","0","2","10","28"
"2006","11","03/18/2006","3","IN","Evansville","3","45","1","0","1","9","34"
"2006","13","04/01/2006","7","LA","Shreveport","7","51","2","2","1","15","31"
"2006","15","04/15/2006","6","AL","Birmingham","14","159","0","4","8","30","117"
"2006","42","10/21/2006","4","MN","Saint Paul","3","69","1","2","3","16","47"
"2006","49","12/09/2006","4","NE","Lincoln","3","48","0","1","2","14","31"
"2006","50","12/16/2006","3","OH","Dayton","7","149","9","0","9","37","94"
"2006","50","12/16/2006","4","KS","Kansas City","1","33","1","0","2","13","17"
"2006","52","12/30/2006","7","OK","Tulsa","10","112","5","3","3","21","80"
"2007","31","08/04/2007","3","IN","Indianapolis","11","177","8","4","15","48","102"
"2007","31","08/04/2007","3","OH","Columbus","16","188","1","3","12","46","126"
"2007","34","08/25/2007","3","IN","South Bend","2","45","0","0","4","8","33"
"2007","40","10/06/2007","9","CA","Long Beach","3","50","1","1","5","13","30"
"2007","43","10/27/2007","3","IN","Gary","0","22","2","1","3","7","9"
"2007","47","11/24/2007","8","AZ","Phoenix","5","127","2","6","8","32","78"
"2007","48","12/01/2007","6","TN","Memphis","6","92","1","2","5","20","64"
"2008","10","03/08/2008","5","VA","Norfolk","1","42","2","1","3","9","26"
"2008","12","03/22/2008","1","MA","Worcester","4","43","1","1","1","6","34"
"2008","17","04/26/2008","3","IN","Gary","0","17","0","0","0","9","8"
"2008","18","05/03/2008","6","KY","Lexington","3","54","0","3","1","6","44"
"2008","21","05/24/2008","9","CA","Glendale","4","36","2","0","0","6","28"
"2008","23","06/07/2008","2","NY","Buffalo","10","77","2","0","6","28","41"
"2008","25","06/21/2008","3","OH","Akron","2","36","0","1","1","9","25"
"2008","35","08/30/2008","2","PA","Erie","6","36","1","0","3","6","26"
"2008","41","10/11/2008","2","NJ","Paterson",NA,"11",NA,NA,"2","2","7"
"2008","48","11/29/2008","6","TN","Knoxville","7","52","1","1","2","14","34"
"2009","52","01/02/2010","7","TX","Houston","7","169","3","6","9","37","114"
"2009","6","02/14/2009","2","NJ","Jersey City","1","9",NA,NA,"1","1","7"
"2009","48","12/05/2009","9","CA","San Francisco","18","127","2","0","14","32","78"
"2009","50","12/19/2009","3","OH","Cincinnati","9","120","1","6","11","27","75"
"2010","5","02/06/2010","3","OH","Youngstown","8","52",NA,NA,NA,"8","44"
"2010","6","02/13/2010","3","OH","Canton","10","55","3","1","3","9","39"
"2010","20","05/22/2010","1","CT","New Haven","2","28","0","0","3","11","14"
"2010","20","05/22/2010","1","MA","New Bedford","1","19","0","0","1","4","14"
"2010","28","07/17/2010","3","OH","Youngstown","1","54","1","1",NA,"10","42"
"2010","38","09/25/2010","7","TX","El Paso","6","101","1","6","4","23","67"
"2010","46","11/20/2010","1","CT","Hartford","4","43",NA,"1","4","7","31"
"2010","49","12/11/2010","4","NE","Lincoln","1","54","1","1","1","12","39"
"2011","6","02/12/2011","6","TN","Memphis","25","149","4",NA,"5","38","102"
"2011","7","02/19/2011","9","HI","Honolulu","8","62","1","1","2","13","45"
"2011","40","10/08/2011","9","CA","San Diego","9","154","2","1","7","36","108"
"2011","51","12/24/2011","4","MO","Kansas City","4","103","5","1","5","28","64"
"2012","18","05/05/2012","2","NJ","Jersey City","1","18","3",NA,NA,"2","13"
"2012","33","08/18/2012","3","OH","Toledo","0","94","3","0","5","18","68"
"2012","34","08/25/2012","9","CA","Glendale","5","38","0","0","2","3","33"
"2012","41","10/13/2012","2","PA","Allentown","2","28","1","0","0","3","24"
"2012","45","11/10/2012","3","OH","Akron","4","36","0","0","3","7","26"
"2012","49","12/08/2012","3","OH","Cleveland","9","311","6","4","10","59","232"
"2013","10","03/09/2013","3","IN","Indianapolis","20","223","8","3","15","60","137"
"2013","12","03/23/2013","3","OH","Toledo","4","95","2","0","1","16","76"
"2013","24","06/15/2013","5","GA","Savannah","2","49","0","0","4","10","35"
"2013","26","06/29/2013","8","UT","Ogden","2","33","0","0","1","10","22"
"2013","32","08/10/2013","2","NY","Buffalo","8","86","1","1","6","18","60"
"2013","36","09/07/2013","4","IA","Des Moines","5","54","0","0","1","14","39"
"2013","37","09/14/2013","5","DC","Washington","10","164","4","6","12","49","93"
"2013","37","09/14/2013","9","CA","Pasadena","4","23","0","0","2","5","16"
"2013","45","11/09/2013","2","PA","Allentown","2","34","0","1","0","4","29"
"2013","45","11/09/2013","9","CA","Berkeley","1","14","0","0","0","1","13"
"2014","53","01/03/2015","6","AL","Montgomery","6","44","0","1","3","7","33"
"2014","5","02/01/2014","5","NC","Charlotte","9","143","4","2","11","33","93"
"2014","18","05/03/2014","1","CT","New Haven","6","42","0","0","4","8","30"
"2014","38","09/20/2014","1","MA","Boston","5","116","2","2","6","31","75"
"2014","38","09/20/2014","2","PA","Pittsburgh","5","77","2","0","5","7","63"
"2014","39","09/27/2014","8","NM","Albuquerque","10","130","3","3","8","35","81"
"2014","41","10/11/2014","1","MA","New Bedford","0","17","0","0","0","5","12"
"2014","41","10/11/2014","2","NY","Syracuse","2","78","0","1","1","19","57"
"2014","43","10/25/2014","9","CA","San Jose","9","202","2","5","8","37","150"
"2014","51","12/20/2014","2","NY","Utica","0","13","0","0","1","1","11"
"2015","6","02/14/2015","5","VA","Richmond","10","82","5","0","6","20","51"
"2015","6","02/14/2015","9","CA","Glendale","5","36","0","0","1","3","32"
"2015","12","03/28/2015","2","NJ","Elizabeth","1","22","0","0","1","6","15"
"2015","15","04/18/2015","5","DE","Wilimington","0","11","0","0","0","0","11"
"2015","44","11/07/2015","2","PA","Reading","1","40","1","0","0","9","30"
"2015","51","12/26/2015","4","MO","Kansas City","6","106","2","2","5","35","62"
"2016","1","01/09/2016","8","CO","Pueblo","1","16","0","0","2","2","12"
"2016","2","01/16/2016","9","CA","Berkeley","1","14","0","0","1","4","9"
"2016","23","06/11/2016","1","CT","Hartford","2","45","0","1","1","12","31"
"2016","23","06/11/2016","7","TX","El Paso","3","92","1","2","5","20","64"
"2016","26","07/02/2016","9","CA","Los Angeles","14","277","7","9","19","65","177"
"2016","28","07/16/2016","4","MN","Duluth","3","28","0","0","0","8","20"
"2016","34","08/27/2016","7","TX","Houston","22","349","8","11","28","55","247"
"2016","39","10/01/2016","9","WA","Seattle","0","0","0","0","0","0","0"
